lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,2022-12-24 16:55:16.518573,,,,,,,,,,,,,,
,2022-12-24 16:55:17.267726,0.03455078974366188,0.00013859289174433798,0.03455078974366188,49.0,0.0,,,,,,,,,
0.01,2022-12-24 16:55:54.385746,,,,,,,,,,,,,,
,2022-12-24 16:55:55.131157,0.2788105010986328,0.001249783206731081,0.2788105010986328,99.0,0.0,,,,,,,,,
0.01,2022-12-24 16:56:32.902805,,,,,,,,,,,,,,
,2022-12-24 16:56:33.651479,0.46552321314811707,0.0020076166838407516,0.46552321314811707,149.0,0.0,,,,,,,,,
0.01,2022-12-24 16:57:09.578304,,,,,,,,,,,,,,
,2022-12-24 16:57:10.231146,0.2922757565975189,0.002144875004887581,0.2922757565975189,199.0,0.0,,,,,,,,,
0.01,2022-12-24 16:57:44.658561,,,,,,,,,,,,,,
,2022-12-24 16:57:45.316151,0.10585352033376694,0.00036303201341070235,0.10585352033376694,249.0,0.0,,,,,,,,,
,2022-12-24 16:57:59.207534,,,,,0.0,0.3901887834072113,0.0027699549682438374,0.3901887834072113,0.09738071262836456,0.00046012431266717613,0.09738071262836456,,,
,2022-12-24 16:58:03.887591,,,,,0.0,,,,,,,0.2228981852531433,0.002343873493373394,0.2228981852531433
0.01,2022-12-24 16:58:39.936077,,,,,,,,,,,,,,
,2022-12-24 16:58:40.692885,0.022786054760217667,9.73564965534024e-05,0.022786054760217667,299.0,1.0,,,,,,,,,
0.01,2022-12-24 16:59:17.336824,,,,,,,,,,,,,,
,2022-12-24 16:59:18.080150,0.10132797062397003,0.00037861778400838375,0.10132797062397003,349.0,1.0,,,,,,,,,
0.01,2022-12-24 16:59:55.190393,,,,,,,,,,,,,,
,2022-12-24 16:59:55.947851,0.05359404534101486,0.00019327471090946347,0.05359404534101486,399.0,1.0,,,,,,,,,
0.01,2022-12-24 17:00:32.202257,,,,,,,,,,,,,,
,2022-12-24 17:00:32.908786,0.04822356998920441,0.00016635522479191422,0.04822356998920441,449.0,1.0,,,,,,,,,
0.01,2022-12-24 17:01:09.074305,,,,,,,,,,,,,,
,2022-12-24 17:01:09.777429,0.3130795359611511,0.0014580097049474716,0.3130795359611511,499.0,1.0,,,,,,,,,
,2022-12-24 17:01:12.966467,,,,,1.0,0.4400182068347931,0.004475053399801254,0.4400182068347931,0.1628037840127945,0.0007706599426455796,0.1628037840127945,,,
,2022-12-24 17:01:15.387732,,,,,1.0,,,,,,,0.1932787448167801,0.0019193707266822457,0.1932787448167801
0.01,2022-12-24 17:04:10.807887,,,,,,,,,,,,,,
,2022-12-24 17:04:11.556511,0.0558619424700737,0.0001954050676431507,0.0558619424700737,549.0,2.0,,,,,,,,,
0.01,2022-12-24 17:04:47.555497,,,,,,,,,,,,,,
,2022-12-24 17:04:48.283594,0.09824188798666,0.0003787802124861628,0.09824188798666,599.0,2.0,,,,,,,,,
0.01,2022-12-24 17:05:24.302215,,,,,,,,,,,,,,
